name,type,comment
d_taxareacountryiso3code,string,
d_taxareamaindivision,string,
d_taxareasubdivision,string,
d_taxareacity,string,
d_taxareadistrict1,string,
d_taxareadistrict2,string,
d_taxareadistrict3,string,
d_taxareadistrict4,string,
d_streetinfodesc,string,
d_streetinfo2desc,string,
d_cityname,string,
d_subdivisionname,string,
d_maindivisionname,string,
d_countryname,string,
d_postalcode,string,
d_locationcode,string,
d_externaljurisdictioncode,string,
po_taxareaid,int,
po_taxareacountry,string,
po_taxareacountryiso2code,string,
po_taxareacountryiso3code,string,
po_taxareamaindivision,string,
po_taxareasubdivision,string,
po_taxareacity,string,
po_taxareadistrict1,string,
po_taxareadistrict2,string,
po_taxareadistrict3,string,
po_taxareadistrict4,string,
po_streetinfodesc,string,
po_streetinfo2desc,string,
po_cityname,string,
po_subdivisionname,string,
po_maindivisionname,string,
po_countryname,string,
po_postalcode,string,
po_locationcode,string,
po_externaljurisdictioncode,string,
ao_taxareaid,int,
ao_taxareacountry,string,
ao_taxareacountryiso2code,string,
ao_taxareacountryiso3code,string,
ao_taxareamaindivision,string,
ao_taxareasubdivision,string,
ao_taxareacity,string,
ao_taxareadistrict1,string,
ao_taxareadistrict2,string,
ao_taxareadistrict3,string,
ao_taxareadistrict4,string,
ao_streetinfodesc,string,
ao_streetinfo2desc,string,
ao_cityname,string,
ao_subdivisionname,string,
ao_maindivisionname,string,
ao_countryname,string,
ao_postalcode,string,
ao_locationcode,string,
ao_externaljurisdictioncode,string,
ad_taxareaid,int,
ad_taxareacountry,string,
ad_taxareacountryiso2code,string,
ad_taxareacountryiso3code,string,
ad_taxareamaindivision,string,
ad_taxareasubdivision,string,
ad_taxareacity,string,
ad_taxareadistrict1,string,
ad_taxareadistrict2,string,
ad_taxareadistrict3,string,
ad_taxareadistrict4,string,
ad_streetinfodesc,string,
ad_streetinfo2desc,string,
ad_cityname,string,
ad_subdivisionname,string,
ad_maindivisionname,string,
ad_countryname,string,
ad_postalcode,string,
ad_locationcode,string,
ad_externaljurisdictioncode,string,
taxtype,string,
jurisdictionid,int,
jurisdictionname,string,
jurisdictiontype,string,
taximpsnsourceid,int,
taximpsnname,string,
