ADMINDEST,RDBAdminDest
STRFLX17,RDBLnItmStrngFlxFld
STRFLX18,RDBLnItmStrngFlxFld
STRFLX19,RDBLnItmStrngFlxFld
STRFLX2,RDBLnItmStrngFlxFld
STRFLX20,RDBLnItmStrngFlxFld
STRFLX21,RDBLnItmStrngFlxFld
STRFLX22,RDBLnItmStrngFlxFld
STRFLX23,RDBLnItmStrngFlxFld
STRFLX24,RDBLnItmStrngFlxFld
STRFLX25,RDBLnItmStrngFlxFld
STRFLX3,RDBLnItmStrngFlxFld
STRFLX4,RDBLnItmStrngFlxFld
STRFLX5,RDBLnItmStrngFlxFld
STRFLX6,RDBLnItmStrngFlxFld
STRFLX7,RDBLnItmStrngFlxFld
STRFLX8,RDBLnItmStrngFlxFld
STRFLX9,RDBLnItmStrngFlxFld
STRFLXN1,RDBFlexFieldDefDtl
STRFLXN10,RDBFlexFieldDefDtl
STRFLXN11,RDBFlexFieldDefDtl
STRFLXN12,RDBFlexFieldDefDtl
STRFLXN13,RDBFlexFieldDefDtl
STRFLXN14,RDBFlexFieldDefDtl
STRFLXN15,RDBFlexFieldDefDtl
STRFLXN16,RDBFlexFieldDefDtl
STRFLXN17,RDBFlexFieldDefDtl
STRFLXN18,RDBFlexFieldDefDtl
STRFLXN19,RDBFlexFieldDefDtl
STRFLXN2,RDBFlexFieldDefDtl
STRFLXN20,RDBFlexFieldDefDtl
STRFLXN21,RDBFlexFieldDefDtl
STRFLXN22,RDBFlexFieldDefDtl
STRFLXN23,RDBFlexFieldDefDtl
STRFLXN24,RDBFlexFieldDefDtl
STRFLXN25,RDBFlexFieldDefDtl
STRFLXN3,RDBFlexFieldDefDtl
STRFLXN4,RDBFlexFieldDefDtl
STRFLXN5,RDBFlexFieldDefDtl
STRFLXN6,RDBFlexFieldDefDtl
STRFLXN7,RDBFlexFieldDefDtl
STRFLXN8,RDBFlexFieldDefDtl
STRFLXN9,RDBFlexFieldDefDtl
TAX,RDBLineItemTax
TAXASSTSTATE,RDBAssistedState
TAXDETTYPE,RDBTaxDetailType
TAXPAYERPTY,RDBPartyDetail
TAXRESPROLETYPE,RDBPartyRoleType
TAXRESULT,RDBTaxResultType
TAXSTRCT,RDBTaxStructure
TAXTYPE,RDBTaxType
TITLETRANS,RDBTitleTrnsfrType
TPLEVEL,RdbTaxpayerLevel
TRANSPER,RDBPartyRoleType
TRANSSTATUS,RDBTransactionStatusType
TRANSTYPE,RDBTransactionType
USAGECLASS,RDBTxbltyDvrDim
USAGECLASSN,RDBTxbltyDvrDetail
USAGETYPE,RDBTxbltyDvrDim
USAGETYPEN,RDBTxbltyDvrDetail
VENDORPTY,RDBPartyDetail
