name, type, nullable, uuid, notes, oversion, wtjversion
"inpTaxAmt","Amount",1,,,,
"buyerName","Name",1,,,,
"buyerExemptInd","Boolean",1,,,,
"buyerPartyType","Type",0,,,,
"buyrExmptCertCode","Code",1,,,,
"buyrPrimPartyCode","Code",1,,,,
"buyrScndPartyCode","Code",1,,,,
"buyrTrtryPartyCode","Code",1,,,,
"buyrPartyClassCode","Code",1,,,,
"buyerBusinessInd","Boolean",1,,,,
"sellerName","Name",1,,,,
"sellerExemptInd","Boolean",1,,,,
"sellerPartyType","Type",0,,,,
"selrExmptCertCode","Code",1,,,,
"selrPrimPartyCode","Code",0,,,,
"selrScndPartyCode","Code",0,,,,
"selrTrtryPartyCode","Code",0,,,,
"selrPartyClassCode","Code",1,,,,
"sellerBusinessInd","Boolean",1,,,,
"ownerName","Name",1,,,,
"ownerExemptInd","Boolean",1,,,,
"ownerPartyType","Type",1,,,,
"ownrExmptCertCode","Code",1,,,,
"ownrPrimPartyCode","Code",1,,,,
"ownrScndPartyCode","Code",1,,,,
"ownrTrtryPartyCode","Code",1,,,,
"ownrPartyClassCode","Code",1,,,,
"ownerBusinessInd","Boolean",1,,,,
"recpPartyName","Name",1,,,,
"recpExemptInd","Boolean",1,,,,
"recpPartyType","Type",1,,,,
"recpExmptCertCode","Code",1,,,,
"recpPrimPartyCode","Code",1,,,,
"recpScndPartyCode","Code",1,,,,
"recpTrtryPartyCode","Code",1,,,,
"recpPartyClassCode","Code",1,,,,
"recpBusinessInd","Boolean",1,,,,
"dispPartyName","Name",1,,,,
"dispExemptInd","Boolean",1,,,,
"dispPartyType","Type",1,,,,
"dispExmptCertCode","Code",1,,,,
"dispPrimPartyCode","Code",1,,,,
"dispScndPartyCode","Code",1,,,,
"dispTrtryPartyCode","Code",1,,,,
"dispPartyClassCode","Code",1,,,,
"dispBusinessInd","Boolean",1,,,,
"reversalInd","Boolean",1,,,,
"weightUnitCode","Code",1,,,,
"volumeUnitCode","Code",1,,,,
"billedToDateAmt","Amount",0,,,,
"exportProcedure","Code",1,,,,
"supplementaryUnit","Amount",1,,,,
"supplementaryUnitType","Type",1,,,,
"documentType","Type",1,,,,
"billingType","Type",1,,,,
"orderType","Type",1,,,,
"statisticalValue","Amount",1,,,,
"statisticalValueCurrencyUnitName","Name",1,,,,
"documentSequenceIdCode","Code",1,,,,
"paymentDate","Date",1,,,,
"transProcTime","Timestamp",0,,,,
"taxPointDate","Date",1,,,"8.0",
"companyCodeCurrencyTaxableAmt","Amount",1,,,"8.0",
"companyCodeCurrencyTaxAmt","Amount",1,,,"8.0",
"companyCodeCurrencyUnit","Code",1,,,"8.0",
"materialOriginCode","Code",1,,,"8.0",
"materialOriginName","Name",1,,,"8.0",
"transForcedInd","Boolean",1,,,"8.0",
"specialTaxBasis","Amount",1,,,"8.0",
"wageBasis","Amount",1,,,"8.0",
"totalTax","Amount",0,,,,
"totalCombinedRate","Percent",0,,,,
"financialEventType","Type",0,,,,
"taxpayerTaxOverThresholdAmount","Amount",0,,,,
"taxpayerTaxOverThresholdPercent","Percent",0,,,,
"taxpayerTaxUnderThresholdAmount","Amount",0,,,,
"taxpayerTaxUnderThresholdPercent","Percent",0,,,,
"vendorTaxOverThresholdAmount","Amount",0,,,,
"vendorTaxOverThresholdPercent","Percent",0,,,,
"vendorTaxUnderThresholdAmount","Amount",0,,,,
"vendorTaxUnderThresholdPercent","Percent",0,,,,
"taxIncludedInd","Boolean",1,,,,
"d_taxAreaId","Id",0,,,,
"d_taxAreaCountry","Name",0,,,,
"d_taxAreaCountryIso2Code","Code",0,,,,
"d_taxAreaCountryIso3Code","Code",0,,,,
"d_taxAreaMainDivision","Name",0,,,,
"d_taxAreaSubDivision","Name",0,,,,
"d_taxAreaCity","Name",1,,,,
"d_taxAreaDistrict1","Name",1,,,,
"d_taxAreaDistrict2","Name",1,,,,
"d_taxAreaDistrict3","Name",1,,,,
"d_taxAreaDistrict4","Name",1,,,,
"d_streetInfoDesc","Desc",0,,,,
"d_streetInfo2Desc","Desc",1,,,,
"d_cityName","Name",0,,,,
"d_subDivisionName","Name",0,,,,
"d_mainDivisionName","Name",0,,,,
"d_countryName","Name",0,,,,
"d_postalCode","Code",0,,,,
"d_locationCode","Code",1,,,,
"d_externalJurisdictionCode","Code",1,,,,
"po_taxAreaId","Id",0,,,,
"po_taxAreaCountry","Name",0,,,,
"po_taxAreaCountryIso2Code","Code",0,,,,
"po_taxAreaCountryIso3Code","Code",0,,,,
"po_taxAreaMainDivision","Name",0,,,,
"po_taxAreaSubDivision","Name",0,,,,
"po_taxAreaCity","Name",1,,,,
"po_taxAreaDistrict1","Name",1,,,,
"po_taxAreaDistrict2","Name",1,,,,
"po_taxAreaDistrict3","Name",1,,,,
"po_taxAreaDistrict4","Name",1,,,,
"po_streetInfoDesc","Desc",0,,,,
"po_streetInfo2Desc","Desc",1,,,,
"po_cityName","Name",0,,,,
"po_subDivisionName","Name",0,,,,
"po_mainDivisionName","Name",0,,,,
"po_countryName","Name",0,,,,
"po_postalCode","Code",0,,,,
"po_locationCode","Code",1,,,,
"po_externalJurisdictionCode","Code",1,,,,
"ao_taxAreaId","Id",0,,,,
